news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
0, 1, 1, 0, l, 0, 204250.203125, ffffffc4190c44a4, 1, 1, 63, , -23158.730469, 4216, -0.000000, 349863
1, 1, 1, 0, C, 1, -22745.669922, 55fd, 0, -3, 104, base, 86673.736328, 1, -0.000004, 553
1, 0, 1, 0, >, 1, -217453.796875, c3fee5e7f815cc42, 1, 0, 2, queen, -8019.113281, 137593207129863409, -3.907227, 60982065
1, 0, 0, 1, y, 1, 2.798340, fe9b86f86a1d7261, 0, 3, 15926, action, -394250.230469, 51538570971, 52.324699, 817633
1, 1, 1, 1, E, 0, -0.674805, 151030ffc390, 0, -7, 362, cough, 157259.187500, 11351481, 0.000001, 1
0, 1, 0, 0, &, 1, -19556.718750, b11635ca36, 0, -25, 103, amusement, -19650.427734, 73757124771280942, -0.000000, 1830216
0, 1, 1, 1, >, 1, -330889.625000, ffffffffe826ccba, 0, 13, 740, act, -198.603516, 152, -0.107136, 2296625349
0, 1, 1, 0, 1, 0, 0.000488, ffffffff776468fc, 0, -8, 51429, range, -1311687.962891, 143896663167763485, 0.000215, 5
1, 0, 0, 1, 3, 1, -0.559082, 732142cac39cd3, 0, 51, 9, debt, -0.001953, 181547456537924, -2.020219, 952071
1, 0, 1, 0, <, 1, -15.379395, 77a3, 1, -8, 2, dock, 100796.546875, 266701100751225984, 13.725039, 123094
0, 0, 1, 1, {, 1, 1.150391, ffffffffffffff9f, 0, -1, 876, island, -1105.914062, 60329606370143, -202.849914, 3
0, 0, 0, 0, o, 0, 0.008301, 1475a2891e830fb, 1, -31, 2364, quicksand, 1570.933594, 6439901709, 78.978890, 10545
1, 0, 1, 0, Y, 0, -5227.040039, ffffffffff0b0039, 0, -17, 23, road, -0.003906, 675, -0.000000, 66
0, 1, 0, 0, p, 1, -0.000977, 433, 0, 1, 2, feeling, 23524.435547, 31, 0.000059, 65203
0, 0, 1, 0, f, 1, -330889.625000, 13d9ef9d5b5413d7, 1, 1, 740, act, 121180.576172, 101255, -0.107136, 1764297699
1, 1, 0, 1, (, 0, -128990.796875, 7ab8ddea, 0, 52, 55, top, -2.984375, 62944244054271, -0.138063, 7251
1, 1, 0, 1, L, 0, -0.000488, fffffff118bcfe22, 0, -25, 5501, scent, -0.076172, 1884632662474, -6.566492, 296143
0, 1, 1, 1, y, 0, 52300.984375, fffffffff6f62723, 1, 41, 20, joke, 0.033203, 211865210106, -0.001681, 13346592
1, 0, 0, 1, #, 1, 357.762695, 29e680, 1, 0, 495, crime, -0.021484, 111748, -12.747981, 0
0, 1, 0, 0, ;, 0, 0.003906, ffe3fc8158c5e0d6, 0, -4, 1314, beginner, 788.662109, 14870080824373, -0.000001, 47
1, 0, 1, 0, #, 1, -1111.995117, ffffffffffffffff, 1, 48, 1008, letters, 996076.193359, 111208079966, -0.000798, 0
0, 1, 1, 1, j, 1, 108.548828, ffddf272dae, 1, -1, 6, base, -6063.525391, 7442787, 0.000000, 167618802
