news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
1, 1, 1, 0, r, 1, 209197.796875, b9, 0, -34, 1, thrill, 1.000000, 0, 1.000000, 1
0, 0, 0, 1, (, 0, 0.000000, e6, 0, 120, 41, legs, -0.005859, 1, 1.000000, 191
1, 1, 0, 0, r, 0, 410659.375000, 0, 1, 68, 13620, statement, 37.458984, 1, 0.000000, 1
0, 0, 1, 0, J, 1, 0.000000, 1, 0, 0, 50007, voyage, 1.000000, 1, 221.585144, 229
0, 0, 1, 0, C, 0, -101243.437500, 2, 1, 1, 0, plot, -3.863281, 29260, -24.284094, 55
0, 0, 0, 1, l, 0, 1.000000, 1, 1, 0, 0, temper, 0.000000, 524, -31.106407, 0
1, 0, 0, 1, #, 1, 1.000000, 4, 0, 10, 1, stitch, -0.162109, 1978, 1.000000, 16
1, 0, 1, 1, ?, 0, 1.000000, 1, 0, 4, 30627, crow, 0.000000, 61, 0.000000, 124
1, 0, 1, 1, ;, 0, -26.125000, 30, 0, 1, 1, payment, 1.000000, 25267, 220.889832, 0
0, 0, 1, 0, p, 1, 264073.250000, 0, 0, 1, 33178, dock, 44.150391, 0, 0.000142, 1
