news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
0, 1, 1, 1, O, 0, -4.255371, 68, 0, -4, 0, note, -0.007812, 2510, -0.002236, 203
1, 1, 0, 1, v, 0, 65030.832031, b2, 1, -1, 2, bells, 0.000000, 56, 0.000075, 207
1, 0, 1, 0, (, 0, -318845.531250, 3, 0, 1, 20404, cracker, -0.015625, 18709, 0.542541, 10
0, 0, 0, 1, b, 0, -0.002441, 0, 1, 11, 0, daughter, -0.005859, 1, 0.000268, 0
1, 1, 0, 1, q, 1, -0.222656, 0, 1, 0, 641, river, -6.732422, 15357, 0.000000, 9
0, 1, 1, 0, J, 1, -385102.375000, 2, 0, -24, 0, friend, 7.837891, 2, -0.003013, 20
1, 1, 1, 0, D, 0, 1776.777832, df, 0, -4, 163, wool, -0.746094, 13, 34.232327, 42
0, 1, 0, 0, {, 0, -0.004395, 6, 0, 0, 41, art, 0.017578, 2502, 0.003058, 5
0, 1, 1, 1, ., 1, 3.259766, 0, 0, 27, 5680, rifle, 0.000000, 289, 0.000372, 1
1, 1, 0, 0, b, 1, -0.020020, 9, 1, 90, 4133, map, 0.000000, 52, 14.368480, 40
1, 1, 1, 1, s, 1, -15153.820312, 0, 0, 1, 229, limit, -0.011719, 11, 0.000624, 84
1, 1, 1, 0, p, 1, -95412.875000, 2c, 0, -3, 5784, border, -0.003906, 34, 0.057178, 24
0, 1, 0, 1, C, 1, -0.040039, 5, 0, -100, 2, notebook, -43.294922, 173, 4.980862, 251
0, 1, 1, 0, -, 1, -0.059570, e5, 0, -48, 53306, skate, 0.011719, 5650, -231.736481, 30
1, 0, 0, 0, z, 0, -191895.906250, f9, 0, -4, 203, father, -2.169922, 1588, 0.393227, 0
0, 0, 1, 0, u, 1, -164.524414, 1e, 0, -15, 38200, story, 0.001953, 60, -0.000024, 3
0, 0, 1, 1, l, 1, -151987.937500, 1, 1, -3, 856, face, -5.933594, 1918, -0.000115, 1
0, 1, 0, 1, [, 1, -52.622070, 7, 1, 0, 2480, religion, 26.441406, 0, 115.917091, 126
0, 1, 0, 0, V, 1, -0.009277, e1, 1, -4, 59, quilt, 0.005859, 5, -0.408118, 42
1, 1, 1, 0, V, 1, -41733.285156, 3, 0, -2, 1366, humor, -0.511719, 107, 0.000012, 223
1, 1, 0, 0, W, 0, -0.092285, 0, 1, 5, 823, coach, -0.003906, 43, 0.000000, 244
1, 0, 1, 0, @, 0, 43.168457, 0, 1, -2, 2, price, 0.003906, 25, -0.029338, 6
1, 1, 0, 1, /, 0, -264.724121, 1, 0, -53, 3, thumb, -0.025391, 5009, -0.078254, 4
0, 0, 1, 1, {, 1, 30246.656250, 2b, 0, -1, 50, journey, 7.402344, 31, -0.000364, 13
1, 0, 1, 1, H, 0, 0.178711, 7c, 0, 14, 415, stem, -0.234375, 0, -0.000000, 3
1, 0, 0, 0, @, 1, 106.548828, 17, 1, -1, 951, condition, -0.033203, 3983, 0.091855, 1
1, 0, 1, 0, +, 0, 189.319336, 1d, 0, 1, 163, flock, -1.837891, 45, -0.078711, 2
1, 0, 1, 1, R, 1, -11081.224609, 6f, 0, 0, 1436, scent, -0.736328, 73, -11.299940, 13
0, 0, 0, 0, 0, 1, -1.901367, 2, 0, 1, 30030, dime, -4.847656, 17782, -0.000000, 9
1, 0, 1, 1, 6, 0, -0.020996, 0, 0, -1, 631, tray, -0.511719, 2, -0.000024, 0
1, 1, 1, 1, f, 0, -0.003906, 0, 0, 123, 7310, night, -0.382812, 48, 11.598410, 3
0, 0, 1, 1, &, 1, 50.871582, 2, 0, 2, 4, tooth, 30.851562, 4, 0.007711, 54
1, 0, 1, 0, X, 0, 0.000488, 5, 1, 71, 0, expert, -0.847656, 11616, 0.000077, 2
0, 0, 1, 1, f, 1, -0.067871, 72, 1, 53, 6, kitten, -1.748047, 12206, 0.059778, 1
1, 1, 0, 1, Q, 0, 0.006348, 63, 1, -2, 24589, chalk, -1.244141, 3, 63.812286, 0
0, 0, 0, 1, S, 1, -0.072266, e, 0, 2, 10663, wing, 0.005859, 6, -0.000001, 0
0, 0, 0, 0, :, 1, 0.001953, 50, 0, -40, 314, taste, 0.005859, 21, 0.141302, 46
0, 0, 1, 0, ., 0, -0.000000, 0, 1, 30, 6, plane, 5.982422, 1439, 0.000000, 51
1, 0, 1, 0, =, 0, 76279.359375, 7b, 0, -116, 297, back, -1.324219, 224, -0.000409, 8
0, 1, 0, 1, C, 1, -3293.815918, 63, 1, 0, 403, wren, -0.050781, 1, -0.000001, 4
0, 1, 1, 0, P, 1, -22.065918, 9, 0, 90, 9392, map, 12.451172, 16330, -0.000125, 40
0, 0, 0, 0, g, 0, -2778.175293, 2, 1, 16, 75, crack, -0.072266, 16273, -0.000182, 1
0, 1, 0, 0, R, 0, 29012.197266, 8, 1, -4, 24741, cabbage, 11.722656, 1117, 0.764382, 48
1, 0, 0, 1, &, 1, 0.075684, 2, 0, -1, 88, support, 0.000000, 2004, 0.000000, 27
1, 0, 0, 1, 0, 0, 0.739746, 76, 1, -29, 1, tendency, -0.001953, 123, -82.542572, 4
1, 0, 0, 1, >, 0, 6382.309082, 2, 1, 0, 36, pocket, 0.048828, 7630, 0.000121, 53
1, 1, 1, 0, M, 1, 0.000977, 96, 0, 0, 6607, church, 30.875000, 398, -7.488090, 64
0, 0, 1, 0, H, 0, -0.021973, 6, 1, 0, 18202, sense, -0.007812, 10, 0.000001, 1
0, 0, 0, 0, V, 0, -1298.410645, 3, 0, -7, 4, shame, 61.181641, 60, 0.001654, 1
1, 0, 1, 0, V, 0, 0.336914, 5, 0, 0, 2, sofa, -12.976562, 89, -0.009502, 15
0, 0, 1, 1, g, 0, 15615.503906, 0, 1, -7, 1, test, 0.107422, 150, -3.510920, 250
1, 0, 0, 0, ~, 1, -0.042969, 14, 0, 0, 1, education, -6.980469, 398, 0.000000, 29
0, 0, 0, 1, S, 1, 0.111328, 17, 0, -9, 317, stem, 0.000000, 11113, 0.406010, 14
1, 0, 1, 1, S, 0, -0.162109, 2, 1, -5, 112, pain, 35.833984, 1430, -0.000013, 0
1, 1, 0, 1, x, 1, 0.002930, 0, 0, 122, 667, celery, -5.248047, 22, -0.000312, 1
1, 1, 1, 0, p, 1, -0.030762, 3b, 0, -3, 8, vein, 0.222656, 7788, 1.494244, 113
